2019-01-21 16:41:33.511780
#,Who,=,*,A,B,C,D,E
1753,nsut_coder,2156,,436,904,816,,
1754,mennafadali,2154,,150,878,1126,,
1754,wang_yiming,2154,,482,900,772,,
1756,brijesh1998,2152,,424,768,960,-3,
1757,Matheus.Monteiro,2150,,392,908,850,,
1758,gheorghe_armand,2146,,-1,924,1222,-3,
1758,cm05,2146,,486,932,728,-2,
1760,Eskimo111,2144,,430,916,798,,-1
1761,MaddyThakker,2142,,430,752,960,,
1761,rebel_2020,2142,,482,760,900,,
1761,julius9499,2142,,484,752,906,,
1764,dunko,2140,,470,880,790,,
1764,theroot,2140,,488,924,728,,
1766,aryan_luffy,2138,,400,478,1260,,
1766,MoNsTeR_CuBe,2138,,372,632,1134,-4,
1768,rkstar1207,2136,,486,814,836,,
1769,prey176,2134,,360,856,918,,
1769,verymuch4470,2134,,422,740,972,,
1769,haizhe,2134,,416,860,858,,
1769,hyfhaha,2134,,456,646,1032,,
1773,FlyWhite,2130,,366,864,900,,
1773,PouyaNavid,2130,,430,712,988,,
1775,ruterute1,2128,,484,936,708,,
1775,xzh2004,2128,,440,812,876,,
1777,z5x3,2126,,348,810,968,,
1777,fbosnjak,2126,,-3,896,1230,-1,
1777,Mooncrater,2126,,480,904,742,,
1777,dqtr03,2126,,414,752,960,,-3
1777,__pupil__chino,2126,,476,696,954,,-1
1777,tajirhas9,2126,,236,666,1224,-1,
1783,Economic,2124,,204,684,1236,,
1783,ShubhamAvasthi,2124,,438,774,-1,912,
1783,Pozdnyakov,2124,,480,786,858,,-2
1786,BOSS_,2122,,418,648,1056,,
1786,Adai_is,2122,,362,872,888,,
1786,gaelim,2122,,412,872,838,-1,
1789,subham-75,2120,,408,836,876,,
1789,may_007,2120,,428,884,808,,
1791,wangshu,2118,,362,794,962,-1,
1792,bruce1114,2114,,472,754,888,,
1792,MintChocoLove,2114,,264,900,950,,
1792,SarcasticGeek,2114,,474,900,740,,
1792,thirtiseven,2114,,374,850,890,,
1796,sky48,2112,,-1,948,1164,-3,
1797,SOrry_UUUUh,2110,,438,832,840,,
1797,Drice,2110,,464,722,924,,
1799,haha_lol,2108,,438,858,812,-1,
1799,zilvery,2108,,488,834,786,,
1799,RM_inf,2108,,424,838,846,,
1799,Angry_penguin,2108,,164,810,1134,-1,
1803,moontrack,2106,,234,784,,1088,
1803,sudekidesu,2106,,218,822,1066,-1,
1803,APwhitehat,2106,,440,828,838,-1,
1806,QAQorz,2104,,378,736,990,-3,
1806,Dainty_Lord,2104,,452,800,852,,
1806,PyAlpha,2104,,486,712,906,,
1809,NeverBeNutella,2102,,276,920,906,-2,
1809,Abhinav__,2102,,484,920,698,,
1811,hellion,2100,,474,822,804,,
1811,Gingka,2100,,372,750,978,,
1813,allenguan11,2098,,-2,916,1182,,-2
1814,17110906047,2096,,468,802,826,,
1814,Catoz,2096,,488,816,792,,
1816,cfantasy,2094,,384,884,826,,
1817,xiaobuxie,2092,,466,816,810,,
1818,crankshaft,2090,,448,796,846,,
1818,s.t.,2090,,-1,782,1308,,
1820,spider_void,2088,,412,856,820,,
1820,17110581098,2088,,482,814,792,,
1822,Tassle,2086,,-4,916,1170,-1,
1822,alconblue,2086,,-1,862,1224,,
1824,SeerZero,2082,,422,772,888,,
1825,appro,2080,,428,824,828,,
1825,pun97it,2080,,422,758,900,,
1827,Ashish,2078,,198,900,980,,-2
1827,Gohnny,2078,,426,722,930,,
1827,YannLuo,2078,,-1,896,1182,-3,
1830,alxy,2076,,474,762,840,,
1831,Ctalker,2074,,370,606,1098,,
1831,lucky3977,2074,,338,808,928,,
1833,yotin,2072,-1,436,810,876,,
1833,amitj4056,2072,,474,900,698,,
1833,rohan1506,2072,,360,740,972,,
1833,raja_123,2072,,466,760,846,,
1833,k24,2072,,-1,932,1140,,-3
1838,andrewmoca04,2068,,-3,892,1176,-1,
1839,_Lumos,2062,,320,802,940,,
1839,wxppy,2062,,466,726,870,,
1839,slappy,2062,,476,838,748,,
1842,aniks2645,2060,,434,924,702,,
1842,x_zadfar,2060,,480,826,754,,
1842,NcuNce,2060,,412,832,816,,
1845,PaulVarm,2052,,410,844,798,-1,
1846,masamasa,2050,,262,666,1122,-2,-1
1847,hkIsBack,2048,,478,520,1050,,
1847,a_n_m,2048,,150,928,970,,
1849,TanJX,2046,,456,782,808,,
1849,BigPolandBro,2046,,432,916,698,,
1851,hkyiitd,2044,,484,572,988,,
1852,ellfslmn,2042,,-1,932,1110,-4,
1852,M__,2042,,482,632,928,,
1854,mmi366127,2036,,-2,940,1096,-2,
1855,potato.max,2034,,-1,834,1200,,
1855,Nirav,2034,,206,884,944,,
1855,prashan_yadav,2034,,474,740,820,,
1858,Dili_iiii,2030,,404,576,1050,,
1859,kdjjain,2026,,434,820,772,,
1860,canticle,2024,,414,732,878,-1,
1861,DICS,2020,,360,626,1034,,
1862,Hasti_hsd,2016,,282,744,990,,
1862,ankur314,2016,,430,608,978,,
1864,vitalikgolubko156,2014,,416,800,798,,
1864,KobeDuu_,2014,,362,860,792,,
1866,ashikur.rahman,2010,,296,622,1092,,
1867,TooGood,2006,,494,492,1020,,
1867,Shattered,2006,,424,472,1110,,
1869,aniKet_gAjare,2004,,392,682,930,-2,
1870,lsklsklsk,2002,,190,852,960,,
1870,chugaev,2002,,256,636,1110,,
1870,Yl4682B4,2002,,-1,836,1166,-2,-1
1873,akakw1,2000,,-1,-1,928,1072,
1874,dark_pain,1998,,264,912,822,,
1875,guanhuhao,1996,,358,738,900,,
1875,SongHL,1996,,462,544,990,,
1875,ibrahim129,1996,,426,552,1018,,
1878,08karishma,1992,,-1,932,1060,-3,
1878,nishanksrj,1992,,480,630,882,,
1880,llfz,1990,,364,884,742,,
1880,Undying,1990,,422,682,886,,
1882,dragon_bra,1988,,366,740,882,,
1883,Mansurbek,1986,,400,668,918,,
1883,shivang_garg_99,1986,,474,876,636,,
1885,prakhar_777,1984,,-1,850,1134,-2,
1886,Phom_Dao,1982,,344,732,906,,
1886,invincible_StromComing,1982,,368,726,888,,
1888,Altickium,1980,,414,770,796,,
1889,fmj_123,1978,,302,644,1032,,
1890,asdfqwert,1976,,238,868,870,,
1890,astro_lion,1976,,200,852,924,,
1890,usertab34,1976,,-2,590,1386,-5,
1893,a11eca,1972,,460,726,786,,
1894,henu_16l_lxl,1970,,-1,908,1062,-2,
1895,QuartZ_Z,1966,,-1,928,1038,,
1896,Mohd.,1962,,434,-3,,1528,-3
1896,lukasanarski,1962,,-4,864,1098,-2,
1896,heguangfu,1962,,456,864,642,,
1899,dwai009,1960,,362,810,788,,
1900,Xones,1950,,-1,864,1086,-1,-1
1901,ashashwat,1948,,198,748,1002,,
1902,Fluffy_X,1944,,304,548,1092,,
1903,ram_24,1942,,252,808,882,,
1903,gamer_coder13,1942,,422,694,826,,
1903,a.ani865,1942,,222,876,844,,
1906,eggplant71,1938,,214,860,864,,
1906,Yatsumura,1938,,434,550,954,-1,
1906,Kavi1234,1938,,-2,888,1050,,-1
1909,mehrdad_sohrabi,1936,,-2,810,1126,-1,
1910,vegsu848,1934,,182,746,1006,,
1910,Schelski,1934,,418,724,792,,
1912,h_elloworl_d,1932,,356,634,942,,
1912,Kissheart,1932,,478,604,850,,
1912,jaqenhghar98,1932,,478,678,776,,
1915,Shan_Xian,1930,,374,744,812,-3,
1916,Mynesis,1924,,302,782,840,,
1916,QuincyTan,1924,,330,796,798,,
1916,Arturoku,1924,,182,902,840,,
1919,XiaoMingZHM,1922,,378,716,828,,
1920,xoke,1920,,488,660,772,,
1921,dm1k9thisyear,1916,,404,666,846,,
1922,fwl,1912,,204,866,842,,
1923,Smile_zw,1910,,-1,916,994,,
1924,y2823774827y,1906,,378,700,828,,
1925,stepsys,1898,,-1,944,954,,-1
1926,liulx15,1896,,-2,840,1056,,
1927,shuai_hui,1894,,462,698,734,,
1928,AshveenBansal,1890,,-1,750,1140,,
1928,h4sjohnson,1890,,150,756,984,,
1930,Cqt_Iostream,1884,,-1,816,1068,,-1
1931,Makarov,1880,,250,884,746,,
1932,kbagoli1999,1878,,440,528,910,,
1933,rais017,1876,,474,676,726,,
1934,cfdxwk,1874,,-2,836,1038,,-1
1935,ghost_of_sparta1,1870,,-1,916,954,,
1936,hsay,1862,,166,838,858,,
1937,Soror_Tina,1860,,-1,702,1158,-1,
1938,Arcadii,1858,,372,664,822,,
1939,allenite,1856,,206,552,1098,,
1939,nitsshukla,1856,,286,754,816,,
1941,kanishkarj1998,1854,,418,694,742,,
1942,Hanani,1848,,486,912,450,,
1943,Rdpaula,1838,,-4,912,926,,-2
1944,zzq233,1836,,482,682,672,,
1945,bmatissek,1834,,198,718,918,,
1945,amstan,1834,,484,476,874,,
1947,programbhavan,1820,,286,780,754,,
1948,HellAngel,1816,,-2,,,1816,-1
1948,pchail,1816,,480,648,688,,
1950,1600,1812,,302,540,970,,
1951,anshkhanna7,1808,,280,496,1032,,
1952,Slonik,1804,,322,486,996,,
1953,INNERCIRCLE,1798,,490,-1,1308,,-4
1954,ghoast,1792,,-1,754,1038,,
1955,adipinstyx,1790,,402,554,834,,
1956,Jefri_007,1786,,472,-1,1314,,
1957,free__bird,1784,,170,744,870,,
1957,yaoxuhoang,1784,,-2,772,1012,,
1959,nhatvy,1780,,276,464,1040,,
1960,krzybar,1770,,-3,720,1050,,-1
1961,xxxyk,1768,,490,-2,1278,-3,
1962,str0ct,1766,,326,698,742,,
1962,gs18103,1766,,300,620,846,-4,
1964,Arese,1764,,322,708,734,,
1965,zmwang,1756,,288,610,858,,
1966,Nspyia,1750,,174,712,864,,
1967,Anus1373,1748,-1,-1,828,970,,
1968,arpit4427,1744,,300,586,858,-4,
1968,limelight,1744,,436,-1,1308,-3,
1970,rishabh.ranjan,1742,,-1,856,886,,
1971,vsft,1738,,-1,802,936,,
1971,old_chap,1738,,294,716,728,,
1971,qwertyy123321,1738,,300,526,912,,
1974,Odyssey1999,1732,,484,-1,1248,,
1975,AbhiY13,1724,,-2,800,924,,
1976,David-M,1720,+2,492,-2,1078,,
1977,asntr,1718,,-1,824,894,,
1977,h4rdlyfunc710n4l,1718,,488,-1,1230,,-1
1979,QIUmi,1710,,-2,720,990,,
1980,doublewang,1708,,150,352,1206,,-1
1981,MKuchum,1704,,360,796,548,-1,
1982,mystery_boy,1702,,304,588,810,,
1983,shado_w,1700,+2,422,-2,1078,,
1983,codancer2000,1700,+1,484,-1,1116,,
1985,Performanceartist,1698,,-2,736,962,,
1986,atmucoder,1694,,-1,758,936,,
1986,xht37,1694,,488,-1,1206,-1,-1
1986,ULIRE,1694,,414,830,450,,
1989,xiayuhandalao,1692,,-1,714,978,,
1990,adiah,1690,,-1,840,850,,
1990,ironman2212,1690,,470,386,834,,
1992,ZhuChenyu,1682,,316,474,892,,
1993,179000,1680,,472,374,834,,
1993,sochta_hun,1680,,-1,840,840,,
1995,KristinAlter,1678,,-1,862,816,,
1996,1330786175,1668,,150,692,826,,
1996,wanfeng_s,1668,,-1,786,882,,
1998,gnad,1666,,436,-2,1230,-5,
1999,3agwa,1658,+1,376,-1,1182,,
2000,Megalomania,1650,,-2,828,822,,
2001,Princ_iple,1642,+2,470,972,-1,,
2002,NikitaSemenov,1638,,480,-1,1158,,
2003,mnicd,1636,,-3,772,864,,
2004,Policarpo,1634,,410,-1,1224,-1,-1
2004,JusTice,1634,+3,470,864,,,
2006,Born_Confused,1632,,426,-1,1206,,
2006,saurabh_dtu,1632,,490,406,736,,
2008,User_19836,1628,,428,,1200,-4,
2009,sp17,1622,-1,484,-1,1188,,
2010,SamHX,1612,,422,326,864,,
2011,xyq0220,1606,,150,678,778,,
2012,Vigilante-ZPZ,1604,,450,438,716,,
2013,thelittleboy,1602,,486,-5,1116,-3,
2014,wijae,1594,,250,-1,1344,,-2
2015,NongDiaoXiang,1590,,,,,,1590
2015,Noimin,1590,,258,-1,1332,-9,
2017,Tantor,1588,+1,198,-1,1290,,
2018,windhs,1582,,-3,706,876,,
2019,n27,1580,,-2,780,800,,
2020,EgorShibaev,1576,,468,-5,1108,,
2021,darkqueen,1568,,482,-1,1086,,
2022,qsh17,1564,,484,-4,1080,-1,
2022,ATmega328,1564,,418,-1,1146,-1,
2024,DenisR,1552,,494,-1,1058,-3,
2025,nj099,1548,+2,454,944,-1,,
2026,amangupta87,1544,,482,-1,1062,,
2027,sooobus,1542,,468,-2,1074,,
2027,CheeseLover,1542,,172,536,834,,
2029,_HossamYehia_,1540,+1,488,952,,,
2030,JK47,1528,+1,492,936,-1,,
2030,Abh1Kudo,1528,+3,472,806,-1,,
2032,asfd221,1526,,484,-1,1042,,
2033,viditjain08,1514,,418,-1,1096,,
2033,lord_fenwick,1514,+2,474,840,,,
2035,Dicer_,1506,+1,478,-1,1078,,
2036,Floryk,1502,,-1,800,702,,
2037,the1vanyes,1498,,298,,1200,-4,
2038,WAWAtewa,1488,,456,-3,1032,,
2039,menirus95,1476,,390,-2,1086,,
2039,bikingyes,1476,,388,-6,,1088,
2039,Shahat,1476,+1,486,890,,,
2039,Mr_Emrul,1476,+1,440,936,-7,,
2043,utkarshsinha97,1470,,-5,584,886,,
2044,Cottonyeti,1468,,496,972,-1,-4,-2
2045,339,1466,+1,474,892,,,
2046,faishol27,1462,,438,-6,1024,,
2047,hiteshpardasani99,1456,,492,964,,-2,
2048,felixwong,1452,,492,960,,-4,
2048,rishi_07,1452,,492,960,,-5,
2050,HEARTOWAVE,1450,,490,960,-3,,
2050,weird_penguin,1450,,430,-4,1020,,
2052,nic6200,1448,,492,956,,,
2052,AceIn,1448,,488,960,,-5,
2054,geckods,1444,,484,-2,960,-2,
2054,learner_321,1444,,492,952,,,
2056,golub,1440,,492,948,,-2,
2056,akali,1440,,480,960,,,-2
2056,iMac,1440,,488,952,,-1,-4
2059,som,1438,,490,948,-1,-7,
2059,rudr,1438,,470,968,,,
2059,Sinhov,1438,,494,944,,,
2062,antohir,1436,,488,948,,-4,
2062,blast,1436,,488,948,,,
2062,Quiet_Space_time,1436,,412,-4,1024,,
2065,hyp1231,1434,,490,944,,-2,
2065,pratikgk45,1434,,490,944,,,
2067,nikich340,1432,,488,944,-1,-7,
2067,Mike_Wasowski,1432,,488,944,-2,,
2067,tiantian5,1432,,488,944,,-3,
2067,Amit_Pandey,1432,,484,948,,,
2067,CaNDidaTE_FaSTer,1432,,468,-1,964,,
2072,arsh99,1430,,490,940,,,
2072,ProfessorCalculus,1430,,490,940,,,
2072,rahulkhairwar,1430,,486,944,,,
2072,shahincsejnu,1430,+2,474,756,,,
2072,phantomI,1430,,490,940,,,
2077,TheRogueOne,1428,,490,-1,938,,
2077,nik1996,1428,,488,940,,,
2077,iamyashh,1428,,488,940,,,
2077,__gauravsingh,1428,,488,940,,,
2077,ccw630,1428,,492,936,-1,-3,
2082,Bojack,1426,,490,936,,,
2082,Charlizard,1426,,-1,908,518,,
2082,yogeshk972,1426,,486,940,,,
2085,Dardy,1424,,488,936,,,
2085,Raja_nsvkp,1424,,488,936,,,
2085,ilya13524,1424,,488,936,,-1,
2085,faizan_amjad,1424,,488,936,,,
2085,shildast,1424,,488,936,,,
2085,ayisn_timur,1424,,488,936,,,
2085,Ranadev_CaptainR,1424,,488,936,-1,,
2085,shivangchopra11,1424,,488,936,-5,,
2093,Aaman007,1422,,490,932,,,
2093,BohdanVey,1422,,490,932,-1,-4,
2093,Out-Of-Reach,1422,,490,932,,,
2093,Shahidul1004,1422,,486,936,,,
2097,ALILILILILI-KHAN,1420,,488,932,-2,,
2097,ankurdhir111,1420,,488,932,,-5,
2097,qudratulloh,1420,,480,940,,,
2097,nikit523,1420,,488,932,-1,,
2097,Michailus,1420,,460,-1,960,,
2102,hackslash_123,1418,,486,932,,,
2102,C919,1418,,486,932,,,
2102,akashpatil219,1418,,486,932,,,
2105,_JOJO_,1416,,488,928,,,
2105,Febrin,1416,,492,924,,,
2105,Sumukh_Bhardwaj,1416,,484,932,,,
2105,dhruval161,1416,,492,924,-1,-5,
2105,nethish,1416,,488,928,,,
2105,GolD_Batyr,1416,,488,928,,,
2105,its_ulure,1416,+1,438,928,,,
2112,Mahdi_Shokoufi,1414,,486,928,-2,,
2112,XzzF,1414,,486,928,,,
2112,dan04,1414,,490,924,,,
2115,abdu.srazh,1412,,488,924,,,
2115,sjsasb_,1412,,484,928,,,
2115,Cyatrosi,1412,,484,928,,,
2118,Humayan_Kabir,1410,,482,928,,,
2118,bakapiano,1410,,486,924,,,
2118,tractor74.ru,1410,,442,968,,-5,
2118,kishanradia,1410,,486,924,,-1,
2118,_VNY_,1410,,486,924,,,
2123,dworst077,1408,,488,920,,,
2123,arshad2117,1408,,488,920,-1,,
2125,kartikay26,1406,,486,920,,,
2125,sauravraj62,1406,,486,920,,,
2125,Zula_,1406,,486,920,,,
2125,Yash_Jain,1406,,478,928,,,
2129,badassiumoxide,1404,,480,924,,,
2130,Ivan_Frost,1402,,482,920,,,
2130,saip2823,1402,,482,920,-3,,
2130,Darknight,1402,,482,920,,,
2130,hvk3,1402,,480,-1,922,,
2130,rohan_ardulous,1402,,478,924,,,
2130,syyz_lxy,1402,,490,912,,,
2136,buzz_95,1400,,480,920,,,
2136,a20034294,1400,,476,924,,,
2136,Underdog_eagle,1400,,480,920,,,
2136,Stucked,1400,,460,940,,,
2136,euler1,1400,,484,916,-2,,
2136,pj21,1400,,488,912,-1,,
2142,vyassamir,1398,,486,912,,,
2142,valerikk,1398,,486,912,,,
2142,thestsaikat,1398,,486,912,,,
2142,jason7777,1398,,482,916,,-5,
2142,bansals888,1398,,486,912,,,
2142,MesutZ,1398,,486,912,,,
2142,I_Love_Zzq,1398,,490,908,,,
2149,jainadit67,1396,,480,916,,,
2149,hansc0320,1396,,484,912,,,
2151,nitksomu,1394,,482,912,,,
2151,PhuongPeu,1394,,486,908,-1,,
2151,vstrimaitis,1394,,438,956,-1,-3,-3
2151,Reziba,1394,,458,936,,-7,
2151,LM.10,1394,,486,908,,,
2151,baleen_whale,1394,,486,908,,,
2157,Kodnot,1392,,488,904,,,
2157,sanchit_20,1392,,476,916,,,
2157,prabhath123,1392,,484,908,,,
2157,RedStone,1392,,440,952,-1,-1,-4
2157,vivekZI,1392,,484,908,,,
2157,kiomi,1392,,484,908,,,
2157,nostalin,1392,,488,904,-2,,
2157,ankitp544,1392,,480,912,-1,-2,
2157,saisurya027,1392,,494,898,,,
2157,TediDinuta,1392,,488,904,,,
2167,you_know_who_,1390,,454,936,,-4,
2167,preda2or,1390,,474,916,,-3,
2167,coderbond007,1390,,438,952,,-10,
2167,shristid,1390,,482,908,,,
2167,Worstbrain,1390,,482,908,,,
2167,aakash,1390,,482,908,,,
2167,gabilash1104,1390,,478,912,,,
2167,ZeroAmbition,1390,,482,908,,,
2167,NasibSu,1390,,482,908,-1,,
2176,TOPWINDFLOWER,1388,,480,908,,,
2176,kzyKT,1388,,494,894,,,
2176,rj25,1388,,476,912,,,
2179,goku98,1386,,482,904,,,
2179,Aman_98,1386,,482,904,,,
2179,MYNAMEISSHARIFUL,1386,,482,904,,,
2179,kuliangce,1386,,478,908,,,
2183,Kishan_143,1384,,476,908,,,
2183,jaideoka,1384,,480,904,-1,,
2183,ansisgustavs2,1384,,480,-1,904,,-1
2183,harsh_jindal,1384,,484,900,,,
2183,sakt_coder,1384,,476,908,-1,,
2183,qyqyq,1384,,490,894,,,
2189,Sasha0738,1382,,482,900,,,
2189,kiet.nguyenbk2804,1382,,474,908,-1,,-3
2189,ashish4321,1382,,482,900,,,
2192,pracboi,1380,,440,940,,,
2192,TzuWei,1380,,150,-1,1230,-4,
2192,abhi2601,1380,,476,904,,,
2192,sirius_white,1380,,480,900,,,
2192,Changyu,1380,,484,896,,,
2192,swust5120170583,1380,,484,896,-2,,
2192,ProximaCentauri,1380,,490,890,-5,,
2199,hobbit_of_madness,1378,,474,904,,,
2199,Ali_Zaiback,1378,,482,896,,,
2199,jung_e_elaan,1378,,490,888,,,
2199,_Time_Lord_,1378,,478,900,,,
2199,meetpr8,1378,,474,904,,,
2199,sifat_15,1378,,482,896,,,
2199,_DarkDawn_,1378,,488,890,,-2,
2199,sgupta98,1378,,478,900,,,
2207,focusvish,1376,,476,900,,,
2207,bAdbuoy,1376,,492,884,,,
2207,Avilash__Dutta,1376,,440,936,,,
2207,RishabhD,1376,,480,896,,,
2207,GreimuL,1376,,480,896,,,
2207,mayukh1110,1376,,476,900,,,
2207,wzy1999,1376,,478,-1,898,,
2207,FortisFortunaAdiuvat,1376,,476,900,,,
2207,UnseenMarksman,1376,,494,882,,-1,
2207,abiralsijaria,1376,,476,900,,,
2217,Gaga_liao,1374,,474,900,,,
2217,L0rdV0ldemort000006,1374,,434,940,,,
2217,IceLady,1374,,482,892,,,
2217,sharma235,1374,,486,888,,,
2217,MrPink,1374,,474,900,,,
2217,vincent97198,1374,,478,896,,,
2217,sagor_das,1374,,474,900,,,
2217,tiantp,1374,,490,884,,,
2217,iitr_anurag,1374,,478,896,,,
2217,raj1238,1374,,492,882,,-2,
2227,delete1,1372,,436,936,,-2,-2
2227,golions,1372,,486,886,,,
2227,Juvitus,1372,,480,892,,,-1
2227,fitz_chivalry,1372,,472,900,,,
2227,Horcrux1729,1372,,480,892,,,
2232,rom_patel,1370,,470,900,,,
2232,olegfomenko,1370,,492,878,,,
2232,shinku_cc,1370,,478,892,,,
2232,passerby_Liao,1370,,492,878,,,
2232,gnu_higher,1370,,478,892,,,
2232,Naman_123,1370,,478,892,,,
2232,yonkoaman,1370,,482,888,,,
2232,ekdoteen123,1370,,470,900,,,
2240,alexxela12345,1368,,464,904,-1,-1,
2240,av_123,1368,,480,888,,,
2240,1710252507,1368,,480,888,,,
2240,Kostin2020,1368,,480,888,,,
2240,krit_patel,1368,,480,888,,,
2240,zeeshan_khan512,1368,,480,888,,,
2240,2017214137,1368,,476,892,,,
2240,DHV,1368,,472,896,-4,,
2240,stunba,1368,,472,896,,,
2249,13553812325,1366,,478,888,,,
2249,JacobianDet,1366,,478,888,,,
2249,ZhouTi,1366,,466,900,,,-3
2249,frostwinter234,1366,,486,880,,-1,
2249,cyber_bot,1366,,478,888,,,
2254,tarun360,1364,,484,880,,,
2254,snstkfka,1364,,472,892,,-3,
2254,Incepti0n,1364,,472,892,,,-1
2254,sdhimmar006,1364,,488,876,,,-1
2254,rogink13,1364,,468,896,,,
2254,Dalp,1364,,464,900,,,
2254,rdiachenko,1364,,476,888,,-2,
2254,sagarshete96,1364,,424,940,,,
2254,Kolyadavydenko,1364,,484,880,,,-1
2263,DoReMiFaSoLaTiDo,1362,,454,908,,,
2263,nupt_ant,1362,,474,888,,,
2263,NASOCHEC,1362,,474,888,,,
2263,dasavishal111,1362,,474,888,,,
2263,Sandeep_P,1362,,470,892,,,
2263,csdog,1362,,472,890,-1,-1,
2263,apoorv1999,1362,,486,876,,,
2263,Aer0park,1362,,488,874,,-6,
2263,Bonchinchi,1362,,-1,-2,1362,,
2263,uniform,1362,,434,928,,,
2263,mir003,1362,,478,884,,,
2263,kshitij_07,1362,,474,888,,,
2263,anubhav000051,1362,,478,884,-1,,
2276,AffirmativeActor,1360,,432,928,,,
2276,MrSpecialist,1360,,432,928,-2,,
2276,zayaz777,1360,,476,884,-4,,
2276,newbie_in_world,1360,,428,932,,,
2276,anuragsingh804,1360,,428,932,,,-1
2276,BLUE14,1360,,488,872,,,
2276,keysersoze,1360,,484,876,,,
2276,malfoy,1360,,476,884,,,
2284,curve,1358,,470,888,,,
2284,ilim,1358,,488,870,,,
2284,arindam_adm,1358,,474,884,,,
2284,rishiraj22,1358,,434,924,,,
2284,Storm_Stark,1358,,474,884,,,
2284,AkckA,1358,,486,872,,,
2284,eeeeeeeelias,1358,,438,920,,,
2284,adiforluls,1358,,474,884,,,
2292,kabeer27,1356,,486,870,,,
2292,freaky_baba,1356,,468,888,,,
2292,fzu_Y,1356,,476,880,,,
2292,deepanshudm11,1356,,432,924,,,
2292,QAQmika,1356,,464,892,,-4,
2292,coelho,1356,,428,928,,,-3
2298,totito,1354,,478,876,-1,,
2298,ordyh,1354,,374,980,,,
2298,Izayoi_Sakuya,1354,,470,884,-1,,
2298,nashugame,1354,,492,862,-2,,
2298,Moon_human,1354,,482,872,,-1,
2298,rsan,1354,,488,866,-3,,
2304,DUBIOUS_FBS,1352,,476,876,,,
2304,Random_,1352,,368,-1,984,,
2304,shivam_jain,1352,,468,884,,,
2304,qingshanfly,1352,,468,884,,,
2304,D_D_D,1352,,480,872,,,
2304,Radon12,1352,,428,924,,-1,
2310,novink,1350,,426,924,,-4,
2310,PiMat,1350,,480,870,,,
2310,baba_yaaga,1350,,470,880,,,
2310,_FLICKER_,1350,,482,868,,,
2310,henu-wxj,1350,,474,876,,,
2310,zylzyl,1350,,478,872,,,
2310,jenish9599,1350,,426,924,-1,,
2317,saint_coder,1348,,464,884,,,
2317,tdlbw,1348,,486,862,,,
2317,_Lightning_,1348,,482,866,,,
2317,hsermeno,1348,,478,870,,-3,
2321,YahiaBadr,1346,,488,858,,,-2
2321,vaibhavpulastya,1346,,484,862,,,
2321,shahnirmit2503,1346,,474,872,,,-3
2321,s_hertelli,1346,,470,876,,,
2321,rsqppp,1346,,440,-5,906,,
2321,yajatdawar,1346,,470,876,,,
2321,Hapsidra,1346,,470,876,-1,,
2321,LongChenL,1346,,466,880,,,
2321,saptarshim,1346,,470,876,,,
2330,Farhan_meb,1344,+1,392,852,,,
2330,Froz,1344,,436,908,,-1,
2330,fsfgfbfhty,1344,,468,876,,,
2330,Siry,1344,,484,860,,,
2334,Alphatrance,1342,,488,854,,,
2334,MuhammadAl-Halaby,1342,,434,908,,,
2334,dmitriy0712,1342,,478,864,,,
2334,dvyn01,1342,,486,856,,,
2334,nitish235,1342,,484,858,-1,-5,
2334,ridam,1342,,426,916,,,
2334,tiagoss2005,1342,,474,868,,,
2334,kangsj,1342,,426,916,,-3,
2342,arushi309,1340,,480,860,,,
2342,landcold7,1340,,464,876,,,
2342,curly_braces,1340,,432,908,,,-1
2342,yell0wfl4sh,1340,,468,872,,,
2342,nikhilrathor01,1340,,464,876,,,
2342,Outermeasure,1340,,468,872,,,
2348,shubhamdhama,1338,,480,858,-1,,
2348,rohan_chittora,1338,,470,868,,,
2348,18380120126,1338,,462,876,,-2,
2348,eXCore,1338,,422,916,,,
2348,Mahmodul00,1338,,484,854,,,
2348,yeeeet,1338,,494,844,,-5,-1
2348,harshyd,1338,,426,912,,,
2348,ujjk29,1338,,426,912,,,-4
2348,Georgiana27,1338,,474,864,,,
2348,rfqdckcp,1338,,466,872,,,
2348,_Jon_Snow,1338,,480,858,-2,,
2359,F-35,1336,,480,856,-1,,
2359,Mayer_Emad,1336,,472,864,,,
2359,walragatver,1336,,482,854,,,
2359,_BEK,1336,,468,868,,,
2359,martingarrix18,1336,,486,850,,,-2
2364,Valkyrie28,1334,,470,864,-2,,
2364,Unshaddy,1334,,426,908,,,
2364,acm2k__,1334,,458,876,-1,,
2364,div24ever,1334,,386,948,,-4,
2364,sakibakon,1334,,478,856,,,
2364,Asif_Watson,1334,,474,860,,,
2364,Meleh,1334,,440,894,,,
2364,Coder_Keanu,1334,,474,860,,,
2364,dhruvil_11,1334,,480,854,,,-1
2373,Paranoid18,1332,,472,860,,,
2373,pransh,1332,,464,868,,,
2373,IMKortam,1332,,464,868,,,
2373,prince_of_crows,1332,,420,912,,,
2373,T1R4nggg,1332,,480,852,,,
2373,sakshammm14,1332,,482,850,,,
2379,KharYusuf,1330,,478,852,,,
2379,Ataur387,1330,,480,850,,,
2379,v_house,1330,,478,852,,,
2379,mukla,1330,,470,860,-3,,
2379,teru,1330,,470,860,,,
2379,aniketsanghi,1330,+1,408,872,,,
2385,satyamcse,1328,,428,900,,,
2385,IMGR00T,1328,,486,842,,,
